ID,PID,Job,Receptor,Ligand,Affinity,lRMSD,uRMSD,logKi, LE,SILE,FQ,LLE,LELP,Ki
221,221,229,2m9p_A_chian,5746,-7.554,0,0,-5.537,0.315,2.911,0.78,5.972,-1.381,2.9 uM
44,44,44,2m9p_A_chian,135415564,-7.546,0,0,-5.531,0.124,2.198,0.619,1.106,35.687,2.94 uM
176,176,162,2m9p_A_chian,89921642,-7.532,0,0,-5.521,0.126,2.205,0.622,-0.873,50.749,3.01 uM
238,238,246,2m9p_A_chian,33613,-7.523,0,0,-5.514,0.301,2.864,0.77,4.973,1.798,3.06 uM
240,240,247,2m9p_A_chian,5742832,-7.505,0,0,-5.501,0.268,2.762,0.751,5.35,0.562,3.15 uM
26,26,29,2m9p_A_chian,5401,-7.496,0,0,-5.495,0.268,2.759,0.751,2.184,12.355,3.2 uM
233,233,242,2m9p_A_chian,65981,-7.481,0,0,-5.484,0.227,2.621,0.725,-0.117,24.673,3.28 uM
80,80,85,2m9p_A_chian,3961,-7.469,0,0,-5.475,0.249,2.692,0.737,1.352,16.56,3.35 uM
28,28,22,2m9p_A_chian,6918173,-7.458,0,0,-5.467,0.081,1.921,0.519,0.128,65.917,3.41 uM
70,70,66,2m9p_A_chian,66828839,-7.453,0,0,-5.463,0.129,2.204,0.623,-2.489,61.645,3.44 uM
25,25,28,2m9p_A_chian,9833444,-7.444,0,0,-5.457,0.095,2.015,0.554,0.431,52.906,3.5 uM
131,131,133,2m9p_A_chian,487090,-7.422,0,0,-5.44,0.158,2.338,0.659,8.774,-21.101,3.63 uM
11,11,10,2m9p_A_chian,657181,-7.419,0,0,-5.438,0.085,1.943,0.528,-1.07,76.569,3.65 uM
99,99,104,2m9p_A_chian,16078,-7.38,0,0,-5.41,0.321,2.881,0.768,0.364,15.718,3.89 uM
211,211,218,2m9p_A_chian,3261,-7.378,0,0,-5.408,0.351,2.96,0.781,2.776,7.498,3.91 uM
170,170,178,2m9p_A_chian,5281037,-7.375,0,0,-5.406,0.246,2.658,0.728,0.805,18.703,3.93 uM
88,88,93,2m9p_A_chian,941651,-7.369,0,0,-5.402,0.246,2.656,0.728,0.481,20.005,3.97 uM
149,149,151,2m9p_A_chian,151171,-7.347,0,0,-5.385,0.193,2.467,0.687,-1.689,36.65,4.12 uM
78,78,83,2m9p_A_chian,10324367,-7.332,0,0,-5.374,0.198,2.482,0.691,2.228,15.889,4.22 uM
197,197,204,2m9p_A_chian,71496458,-7.33,0,0,-5.373,0.198,2.481,0.691,0.246,25.894,4.24 uM
123,123,128,2m9p_A_chian,9552079,-7.298,0,0,-5.35,0.215,2.534,0.702,-1.881,33.632,4.47 uM
43,43,47,2m9p_A_chian,5284585,-7.285,0,0,-5.34,0.304,2.808,0.753,3.35,6.547,4.57 uM
