ID,PID,Job,Receptor,Ligand,Affinity,lRMSD,uRMSD,logKi, LE,SILE,FQ,LLE,LELP,Ki
234,234,243,2m9p_A_chian,3737,-5.973,0,0,-4.378,0.299,2.432,0.64,1.397,9.968,41.85 uM
226,226,235,2m9p_A_chian,5656,-5.946,0,0,-4.358,0.297,2.421,0.636,1.865,8.393,43.81 uM
135,135,139,2m9p_A_chian,9835049,-5.847,0,0,-4.286,0.344,2.499,0.649,4.335,-0.144,51.77 uM
53,53,56,2m9p_A_chian,5284373,-5.739,0,0,-4.207,0.068,1.514,0.417,-2.721,101.876,62.12 uM
207,207,211,2m9p_A_chian,6918670,-5.686,0,0,-4.168,0.183,2.03,0.556,1.798,12.954,67.94 uM
50,50,41,2m9p_A_chian,5311065,-5.682,0,0,-4.165,0.077,1.562,0.435,2.583,20.548,68.4 uM
69,69,74,2m9p_A_chian,132999,-5.669,0,0,-4.155,0.167,1.968,0.546,-0.656,28.81,69.91 uM
220,220,228,2m9p_A_chian,7638,-5.663,0,0,-4.151,0.378,2.513,0.651,1.18,7.86,70.63 uM
64,64,69,2m9p_A_chian,3037557,-5.567,0,0,-4.081,0.242,2.173,0.579,5.384,-5.384,83.05 uM
199,199,207,2m9p_A_chian,3341,-5.493,0,0,-4.026,0.262,2.204,0.583,0.277,14.308,94.1 uM
77,77,82,2m9p_A_chian,2788,-5.429,0,0,-3.98,0.418,2.515,0.655,0.782,7.652,104.83 uM
8,8,5,2m9p_A_chian,16130957,-5.428,0,0,-3.979,0.048,1.318,0.342,-6.386,215.929,105.01 uM
66,66,71,2m9p_A_chian,44603531,-5.375,0,0,-3.94,0.1,1.624,0.46,-2.514,64.537,114.83 uM
209,209,215,2m9p_A_chian,2973,-5.285,0,0,-3.874,0.136,1.761,0.494,1.547,17.11,133.67 uM
5,5,3,2m9p_A_chian,457193,-5.24,0,0,-3.841,0.058,1.358,0.367,-0.402,73.155,144.22 uM
61,61,64,2m9p_A_chian,5388937,-5.227,0,0,-3.831,0.072,1.443,0.403,0.646,44.239,147.42 uM
102,102,90,2m9p_A_chian,71511839,-5.081,0,0,-3.724,0.072,1.414,0.396,-0.687,61.269,188.62 uM
155,155,161,2m9p_A_chian,54670067,-5.077,0,0,-3.721,0.423,2.409,0.633,5.128,-3.327,189.89 uM
205,205,213,2m9p_A_chian,5910,-5.075,0,0,-3.72,0.338,2.252,0.582,2.718,2.964,190.54 uM
37,37,20,2m9p_A_chian,21585658,-5.029,0,0,-3.686,0.044,1.211,0.317,-0.835,102.75,205.92 uM
195,195,203,2m9p_A_chian,27661,-4.98,0,0,-3.65,0.383,2.307,0.6,1.825,4.765,223.67 uM
146,146,152,2m9p_A_chian,2972,-4.93,0,0,-3.614,0.493,2.471,0.684,3.215,0.81,243.37 uM
153,153,159,2m9p_A_chian,4513,-4.923,0,0,-3.609,0.234,1.975,0.521,1.599,8.59,246.26 uM
73,73,65,2m9p_A_chian,5284616,-4.859,0,0,-3.562,0.075,1.389,0.39,-3.172,89.784,274.35 uM
59,59,50,2m9p_A_chian,16119814,-4.837,0,0,-3.546,0.063,1.314,0.364,-1.908,86.575,284.73 uM
165,165,171,2m9p_A_chian,667490,-4.818,0,0,-3.532,0.482,2.415,0.669,2.517,2.107,294.01 uM
92,92,97,2m9p_A_chian,4510,-4.7,0,0,-3.445,0.313,2.086,0.539,2.896,1.756,358.8 uM
177,177,184,2m9p_A_chian,4091,-4.503,0,0,-3.301,0.5,2.329,0.685,2.83,0.941,500.33 uM
191,191,198,2m9p_A_chian,2907,-4.46,0,0,-3.269,0.319,2.021,0.524,-0.365,11.391,537.99 uM
65,65,70,2m9p_A_chian,3219,-4.438,0,0,-3.253,0.202,1.756,0.466,-0.883,20.477,558.35 uM
215,215,223,2m9p_A_chian,5961,-4.324,0,0,-3.17,0.432,2.167,0.6,3.33,-0.369,676.81 uM
31,31,32,2m9p_A_chian,448601,-4.186,0,0,-3.068,0.059,1.165,0.325,0.975,35.473,854.32 uM
100,100,75,2m9p_A_chian,6918289,-2.697,0,0,-1.977,0.037,0.745,0.207,-3.166,139.005,10.55 mM
